zona;nome;cod_municipio;municipio;cod_distrito;distrito;popu
107;Vila Leopoldina;36;São Paulo;90;Vila Leopoldina;15213 
108;Emissário;36;São Paulo;90;Vila Leopoldina;3451 
109;Vila Zatt;36;São Paulo;64;Pirituba;120118 
110;Pirituba;36;São Paulo;64;Pirituba;50451 
111;São Domingos;36;São Paulo;73;São Domingos;50923 
112;Jardim Mutinga;36;São Paulo;73;São Domingos;35152 
113;Vila Jaguara;36;São Paulo;39;Jaguara;24154 
114;Parque do Jaraguá;36;São Paulo;41;Jaraguá; 
115;Nova Jaraguá;36;São Paulo;41;Jaraguá;49094 
116;Parada de Taipas;36;São Paulo;41;Jaraguá;157907 
117;Parque Morro Doce;36;São Paulo;3;Anhanguera;64095 
118;Anhanguera;36;São Paulo;3;Anhanguera;16752 
119;Perus;36;São Paulo;62;Perus;87246 
120;Vista Alegre;36;São Paulo;11;Brasilândia; 
121;Jardim Damasceno;36;São Paulo;11;Brasilândia;90273 
122;Vila Souza;36;São Paulo;11;Brasilândia;49953 
123;Vila Terezinha;36;São Paulo;11;Brasilândia;73066 
124;Brasilândia;36;São Paulo;11;Brasilândia;64866 
125;Vila Morro Grande;36;São Paulo;29;Freguesia do Ó;52600 
126;Itaberaba;36;São Paulo;29;Freguesia do Ó;34079 
127;Freguesia do Ó;36;São Paulo;29;Freguesia do Ó;53941 
128;Carandiru;36;São Paulo;71;Santana;1794 
129;Santana;36;São Paulo;71;Santana;4596 
130;Zaki Narchi;36;São Paulo;71;Santana;3274 
131;Tietê;36;São Paulo;71;Santana;1227 
132;Parque Anhembi;36;São Paulo;71;Santana; 
133;Alfredo Pujol;36;São Paulo;71;Santana;36442 
134;Santa Terezinha;36;São Paulo;71;Santana;28827 
135;Jardim São Paulo;36;São Paulo;71;Santana;38163 
136;Casa Verde;36;São Paulo;21;Casa Verde;32570 
137;Parque Peruche;36;São Paulo;21;Casa Verde;53439 
138;Limão;36;São Paulo;50;Limão;7855 
139;Jardim Primavera;36;São Paulo;50;Limão;24309 
140;Vila Santa Maria;36;São Paulo;50;Limão;47391 
141;Cachoeirinha;36;São Paulo;13;Cachoeirinha;79276 
142;Jardim Peri;36;São Paulo;13;Cachoeirinha;66324 
143;Reserva da Cantareira;36;São Paulo;13;Cachoeirinha; 
144;Mandaqui;36;São Paulo;51;Mandaqui;104526 
145;Horto Florestal;36;São Paulo;51;Mandaqui;4480 
146;ETA Guaraú;36;São Paulo;51;Mandaqui; 
147;Parque Palmas do Tremembé;36;São Paulo;83;Tremembé;33902 
148;Tremembé;36;São Paulo;83;Tremembé;22869 
149;Cantareira;36;São Paulo;83;Tremembé; 
150;Jardim das Pedras;36;São Paulo;83;Tremembé;51558 
151;Jardim Guapira;36;São Paulo;83;Tremembé;109629 
152;Parada Inglesa;36;São Paulo;84;Tucuruvi;35169 
153;Tucuruvi;36;São Paulo;84;Tucuruvi;16284 
154;Vila Gustavo;36;São Paulo;84;Tucuruvi;45465 
155;Cohab Jova Real;36;São Paulo;38;Jaçanã;32242 
156;Jaçanã;36;São Paulo;38;Jaçanã;43910 
157;Parque Edu Chaves;36;São Paulo;38;Jaçanã;19629 
158;Vila Medeiros;36;São Paulo;94;Vila Medeiros;60459 
159;Jardim Brasil;36;São Paulo;94;Vila Medeiros;64171 
160;Jardim Japão;36;São Paulo;91;Vila Maria;50672 
161;Parque Novo Mundo;36;São Paulo;91;Vila Maria;47297 
162;Vila Maria;36;São Paulo;91;Vila Maria;15842 
163;Vila Isolina Mazzei;36;São Paulo;88;Vila Guilherme;47519 
164;Vila Guilherme;36;São Paulo;88;Vila Guilherme;5849 
165;Coroa;36;São Paulo;88;Vila Guilherme;3184 
166;Gomes Cardim;36;São Paulo;82;Tatuapé;32876 
167;Tatuapé;36;São Paulo;82;Tatuapé;17440 
168;Chácara do Piqueri;36;São Paulo;82;Tatuapé;22502 
169;Parque São Jorge;36;São Paulo;82;Tatuapé;22460 
170;Penha;36;São Paulo;60;Penha;34693 
171;Tiquatira;36;São Paulo;60;Penha;40666 
172;Vila Esperança;36;São Paulo;60;Penha;26788 
173;Vila Ré;36;São Paulo;60;Penha;26818 
174;Rui Barbosa;36;São Paulo;18;Cangaíba;48886 
175;Estação Eng Goulart;36;São Paulo;18;Cangaíba;31792 
176;Cangaíba;36;São Paulo;18;Cangaíba;46828 
177;Parque Ecológico do Tietê;36;São Paulo;18;Cangaíba;10184 
178;USP Leste I;36;São Paulo;18;Cangaíba; 
179;USP Leste II;36;São Paulo;28;Ermelino Matarazzo; 
180;Ermelino Matarazzo;36;São Paulo;28;Ermelino Matarazzo;71109 
181;Parque Buturussu;36;São Paulo;28;Ermelino Matarazzo;46600 
182;Ponte Rasa;36;São Paulo;65;Ponte Rasa;46946 
183;Burgo Paulista;36;São Paulo;65;Ponte Rasa;43659 
184;Limoeiro;36;São Paulo;89;Vila Jacuí;24724 
185;Laranja da China;36;São Paulo;89;Vila Jacuí;29129 
186;Pedro José Nunes;36;São Paulo;89;Vila Jacuí;11747 
187;Parque Cruzeiro do Sul;36;São Paulo;89;Vila Jacuí;48263 
188;Vila Jacuí;36;São Paulo;89;Vila Jacuí;31082 
189;Parada XV;36;São Paulo;36;Itaquera;48725 
190;Itaquera;36;São Paulo;36;Itaquera;33748 
191;Arena Corinthians;36;São Paulo;36;Itaquera; 
192;Vila Campanela;36;São Paulo;36;Itaquera;38953 
193;Araucárias;36;São Paulo;36;Itaquera;25665 
194;Parque Guarani;36;São Paulo;36;Itaquera;25845 
195;Rio Verde;36;São Paulo;36;Itaquera;37047 
196;Saudade;36;São Paulo;76;São Miguel;35990 
197;São Miguel Paulista;36;São Paulo;76;São Miguel;24124 
198;Cidade NitroOperária;36;São Paulo;76;São Miguel;29485 
199;Jardim Helena;36;São Paulo;43;Jardim Helena;101750 
200;Jardim Romano;36;São Paulo;43;Jardim Helena;33296 
201;Vila Curuçá;36;São Paulo;86;Vila Curuçá;74667 
202;Jardim Robru;36;São Paulo;86;Vila Curuçá;77630 
203;Lageado;36;São Paulo;47;Lajeado;57057 
204;Fábrica Bandeirantes;36;São Paulo;47;Lajeado;115079 
205;Fazenda Itaim;36;São Paulo;35;Itaim Paulista;107393 
206;Itaim Paulista;36;São Paulo;35;Itaim Paulista;45915 
207;Jardim das Oliveiras;36;São Paulo;35;Itaim Paulista;79026 
208;Vila Califórnia;36;São Paulo;20;Carrão;42519 
209;Vila Carrão;36;São Paulo;20;Carrão;42192 
210;Jardim Anália Franco;36;São Paulo;87;Vila Formosa;32170 
211;Vila Formosa;36;São Paulo;87;Vila Formosa;62162 
212;Barreira Grande;36;São Paulo;4;Aricanduva;42022 
213;Aricanduva;36;São Paulo;4;Aricanduva;44558 
214;Frei Mont'Alverne;36;São Paulo;93;Vila Matilde;26032 
215;Vila Matilde;36;São Paulo;93;Vila Matilde;39195 
216;Cidade Patriarca;36;São Paulo;93;Vila Matilde;40288 
217;Cidade AECarvalho;36;São Paulo;5;Artur Alvim;33081 
218;Artur Alvim;36;São Paulo;5;Artur Alvim;68334 
219;Cidade Líder;36;São Paulo;24;Cidade Líder;54475 
220;Santa Marcelina;36;São Paulo;24;Cidade Líder;34510 
221;Parque Savoy;36;São Paulo;24;Cidade Líder;44416 
222;Vila Carmosina;36;São Paulo;58;Parque do Carmo;44512 
223;Fazenda Caguaçu;36;São Paulo;58;Parque do Carmo;26492 
224;Parque do Carmo;36;São Paulo;58;Parque do Carmo; 
225;Gleba do Pêssego;36;São Paulo;46;José Bonifácio;31818 
226;José Bonifácio;36;São Paulo;46;José Bonifácio;102278 
227;Guaianases;36;São Paulo;31;Guaianases;63969 
228;Juscelino Kubitschek;36;São Paulo;31;Guaianases;44320 
229;Cidade Tiradentes;36;São Paulo;25;Cidade Tiradentes;152866 
230;Santa Etelvina;36;São Paulo;25;Cidade Tiradentes;77122 
231;Terceira Divisão;36;São Paulo;32;Iguatemi;35298 
232;Iguatemi;36;São Paulo;32;Iguatemi;42214 
233;Sítio Carrãozinho;36;São Paulo;32;Iguatemi;67261 
234;Parque São Rafael;36;São Paulo;77;São Rafael;70826 
235;Rodolfo Pirani;36;São Paulo;77;São Rafael;85409 
