zone;name
263;"Fazenda da Juta"
264;"São Mateus"
265;"Cidade IV Centenário"
266;"Rio Claro"
267;"Cidade Satélite"
268;"Joaquim Nabuco"
269;"Vieira de Moraes"
270;"Campo Belo"
271;"Congonhas"
272;"Jardim Aeroporto"
273;"Vila Santa Catarina"
274;"Jabaquara"
275;"Cidade Vargas"
276;"Jardim Bom Clima"
277;"Cupecê"
278;"Jardim Miriam"
279;"Vila Missionária"
280;"Jurubatuba"
281;"Vila São Pedro"
282;"Campo Grande"
283;"Vila Sabará"
284;"Mar Paulista"
285;"Pedreira"
286;"Vila Socorro"
287;"Parque Interlagos"
288;"Jardim Represa"
289;"Rio Bonito"
290;"SESC Interlagos"
291;"Jardim Presidente"
292;"Vila Natal"
293;"Grajaú"
294;"Cocaia"
295;"Belmira Marin"
296;"Bororé"
297;"Jaceguava"
298;"Parelheiros"
299;"Marsilac"
300;"Granja Julieta"
301;"Chácara Flora"
302;"Santo Amaro"
303;"Vila Miranda"
304;"Jardim São Luís"
305;"Centro Empresarial"
306;"Guarapiranga"
307;"Jardim Capela"
308;"Riviera"
309;"Jardim Turquesa"
310;"Morro do Índio"
311;"Jardim Ângela"
312;"Capão Redondo"
313;"Jardim Sônia Ingá"
314;"Adventista"
315;"Parque Fernanda"
316;"Morumbi"
317;"Jóquei Clube"
318;"Fazenda Morumbi"
319;"Real Parque"
320;"Paraisópolis"
321;"Jardim Vitória Régia"
322;"Vila Suzana"
323;"Parque Arariba"
324;"Jardim Mitsutani"
325;"Pirajussara"
326;"Jardim Umarizal"
327;"Portal do Morumbi"
328;"Jardim Jussara"
329;"Vila Sônia"
330;"Jardim Maria do Carmo"
331;"Jardim Cambará"
332;"Jardim João XXIII"
333;"Raposo Tavares"
334;"Rio Pequeno"
335;"Jardim Ester Yolanda"
336;"Jardim Adalgiza"
337;"Parque Continental"
338;"Jaguaré"
339;"Cidade Universitária"
340;"Butantã"
341;"Jardim Caxingui"
342;"Jardim Bonfiglioli"
